date,close,equity
2023-01-02,100.782686673753,1000000.0
2023-01-03,101.20002207701158,998776.2093850275
2023-01-04,101.48965485521357,1001469.794222306
2023-01-05,101.3778162309352,1000429.6950165171
2023-01-06,102.79635873436736,1013622.1402984363
2023-01-09,101.9632488171748,1005874.2180685455
2023-01-10,100.59978003582684,993193.9584020094
2023-01-11,98.15077193252387,968319.9246724878
2023-01-12,94.18095571197854,968319.9246724878
2023-01-13,94.7963119935557,968319.9246724878
2023-01-16,96.0629949938779,968319.9246724878
2023-01-17,96.02686034144976,968319.9246724878
2023-01-18,94.15693066973311,968319.9246724878
2023-01-19,92.95542962108071,968319.9246724878
2023-01-20,96.7438267972259,968319.9246724878
2023-01-23,99.21603692175987,968319.9246724878
2023-01-24,101.53594877512167,967131.6799247573
2023-01-25,102.51435373867557,975937.3245967424
2023-01-26,104.09516061549829,990164.5864881469
2023-01-27,102.89485494732078,979361.8354745493
2023-01-30,101.33193026829375,965295.5133633061
2023-01-31,101.24025062753861,964470.3965965098
2023-02-01,100.24432226833866,955507.0413637103
2023-02-02,100.90469731165592,961450.4167535657
2023-02-03,102.03187497338855,971595.0157091593
2023-02-06,102.93182851136113,979694.5975509125
2023-02-07,101.68093601531154,968436.5650864663
2023-02-08,102.96574029433899,979999.8035977131
2023-02-09,104.45402241515424,993394.3426850504
2023-02-10,104.27673414516474,991798.7482551449
2023-02-13,100.70623314146003,959664.2392218026
2023-02-14,101.57922192804807,967521.138301095
2023-02-15,99.70486016713113,948589.1583942467
2023-02-16,96.59228623387217,948589.1583942467
2023-02-17,100.2608643412893,948589.1583942467
2023-02-20,100.78351071618368,948589.1583942467
2023-02-21,99.51236905262427,948589.1583942467
2023-02-22,99.12281006996234,948589.1583942467
2023-02-23,100.55011981273267,948589.1583942467
2023-02-24,100.59211844937852,948589.1583942467
2023-02-27,98.73791881210701,948589.1583942467
2023-02-28,97.52953514392296,948589.1583942467
2023-03-01,97.05900723786183,948589.1583942467
2023-03-02,97.73658205109707,948589.1583942467
2023-03-03,97.50627723482954,948589.1583942467
2023-03-06,97.55481153721148,948589.1583942467
2023-03-07,97.0028282227631,948589.1583942467
2023-03-08,96.12566784265204,948589.1583942467
2023-03-09,95.20034228581483,948589.1583942467
2023-03-10,94.88964198806342,948589.1583942467
2023-03-13,97.07695527145675,948589.1583942467
2023-03-14,98.84426671102952,948589.1583942467
2023-03-15,97.29134002340295,947425.2854434685
2023-03-16,97.98363949463396,953794.4405787938
2023-03-17,98.9824403317369,962983.4082801407
2023-03-20,100.05943441093828,972891.7538087935
2023-03-21,101.59890463842518,987054.879901673
2023-03-22,102.88303408976608,998868.8708540093
2023-03-23,101.72715147572701,988234.7508048498
2023-03-24,101.61442403078154,987197.6583113514
2023-03-27,101.42260301491683,985432.9049653962
2023-03-28,99.59457935772359,968615.0873192183
2023-03-29,101.79350647332421,988845.216782744
2023-03-30,98.76454113312157,960978.7356528797
2023-03-31,95.86594769211908,932284.299099226
2023-04-03,99.23862146219479,932284.299099226
2023-04-04,99.96727698445595,932284.299099226
2023-04-05,101.43103398872799,931136.849369815
